sample,filtering,PON,bootstrap,calls
T119,All,60, 1, 58121
T119,All,60, 2, 58105
T119,All,60, 3, 58153
T119,All,60, 4, 58188
T119,All,60, 5, 58270
T119,All,65, 1, 57719
T119,All,65, 2, 58228
T119,All,65, 3, 57467
T119,All,65, 4, 57569
T119,All,65, 5, 57687
T119,filtered,05, 1, 26930
T119,filtered,05, 2, 27053
T119,filtered,05, 3, 26837
T119,filtered,05, 4, 26961
T119,filtered,05, 5, 26961
T119,filtered,10, 1, 32857
T119,filtered,10, 2, 34218
T119,filtered,10, 3, 35049
T119,filtered,10, 4, 34012
T119,filtered,10, 5, 33527
T119,filtered,15, 1, 36426
T119,filtered,15, 2, 36518
T119,filtered,15, 3, 36362
T119,filtered,15, 4, 36997
T119,filtered,15, 5, 36656
T119,filtered,20, 1, 37191
T119,filtered,20, 2, 36681
T119,filtered,20, 3, 37501
T119,filtered,20, 4, 37441
T119,filtered,20, 5, 37351
T119,filtered,25, 1, 38118
T119,filtered,25, 2, 37066
T119,filtered,25, 3, 37765
T119,filtered,25, 4, 37949
T119,filtered,25, 5, 37334
T119,filtered,30, 1, 38167
T119,filtered,30, 2, 37395
T119,filtered,30, 3, 37593
T119,filtered,30, 4, 38090
T119,filtered,30, 5, 38149
T119,filtered,35, 1, 38058
T119,filtered,35, 2, 37790
T119,filtered,35, 3, 38452
T119,filtered,35, 4, 38411
T119,filtered,35, 5, 37749
T119,filtered,40, 1, 38168
T119,filtered,40, 2, 38196
T119,filtered,40, 3, 37904
T119,filtered,40, 4, 38203
T119,filtered,40, 5, 37718
T119,filtered,45, 1, 37709
T119,filtered,45, 2, 37880
T119,filtered,45, 3, 37287
T119,filtered,45, 4, 37635
T119,filtered,45, 5, 37757
T119,filtered,50, 1, 37199
T119,filtered,50, 2, 37528
T119,filtered,50, 3, 37573
T119,filtered,50, 4, 37217
T119,filtered,50, 5, 37375
T119,filtered,55, 1, 37258
T119,filtered,55, 2, 37443
T119,filtered,55, 3, 37473
T119,filtered,55, 4, 37517
T119,filtered,55, 5, 37396
T119,filtered,60, 1, 37079
T119,filtered,60, 2, 37313
T119,filtered,60, 3, 37191
T119,filtered,60, 4, 37306
T119,filtered,60, 5, 37221
T119,filtered,65, 1, 37063
T119,filtered,65, 2, 37149
T119,filtered,65, 3, 37150
T119,filtered,65, 4, 37112
T119,filtered,65, 5, 37050
